"site","flux_sitenames","veg_type","roi_id","direction","value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min","max"
"austincary","US-SP1","EN",1000,"falling","exZavaz_mean","2017-11-19","2017-11-12","2017-11-01","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.64605,0.68436,0.76343,0.61867,0.90719
"austincary","US-SP1","EN",1000,"falling","exZavaz_mean","2016-11-02","2016-10-27","2016-10-15","2016-11-06","2016-10-30","2016-10-19","2016-10-29","2016-10-22","2016-10-13",0.63989,0.67053,0.73698,0.61798,0.84593
"austincary","US-SP1","EN",1000,"rising","exG_90","2016-05-09","2016-05-26","2016-06-24","2016-05-08","2016-05-25","2016-06-22","2016-05-10","2016-05-27","2016-06-25",57.68664,59.53543,62.83441,56.44356,69.02374
"austincary","US-SP1","EN",1000,"rising","exG_90","2017-05-02","2017-05-19","2017-06-09","2017-05-01","2017-05-18","2017-06-08","2017-05-03","2017-05-20","2017-06-10",56.57282,58.54498,62.06774,55.25264,68.8332
"austincary","US-SP1","EN",1000,"rising","exG_90","2018-04-08","2018-05-04","2018-06-11","2018-04-07","2018-05-03","2018-06-10","2018-04-09","2018-05-05","2018-07-06",55.61036,57.28574,60.10869,54.52979,65.67489
"austincary","US-SP1","EN",1000,"rising","exG_75","2016-05-09","2016-05-29","2016-06-29","2016-05-08","2016-05-28","2016-06-28","2016-05-10","2016-05-30","2016-06-30",56.06763,57.94726,61.17804,54.82763,67.36618
"austincary","US-SP1","EN",1000,"rising","exG_75","2017-04-22","2017-05-15","2017-06-07","2017-04-21","2017-05-14","2017-06-06","2017-04-24","2017-05-16","2017-06-08",54.64003,56.69715,60.38177,53.32321,67.17558
"austincary","US-SP1","EN",1000,"rising","exG_75","2018-04-09","2018-05-02","2018-06-03","2018-04-08","2018-05-01","2018-06-02","2018-04-10","2018-05-03","2018-06-04",53.92733,55.50635,58.28752,52.85787,63.69219
"austincary","US-SP1","EN",1000,"rising","exG_50","2016-05-15","2016-06-01","2016-06-30","2016-05-14","2016-05-31","2016-06-29","2016-05-17","2016-06-02","2016-07-01",53.82029,55.70411,58.96616,52.66103,65.09498
"austincary","US-SP1","EN",1000,"rising","exG_50","2017-05-06","2017-05-21","2017-06-10","2017-05-05","2017-05-20","2017-06-08","2017-05-08","2017-05-22","2017-06-11",53.52144,55.38233,58.63417,52.38209,64.5381
"austincary","US-SP1","EN",1000,"rising","exG_50","2018-04-12","2018-05-04","2018-07-18","2018-04-11","2018-05-03","2018-07-17","2018-04-14","2018-05-06","2018-07-19",51.91018,53.35563,55.90774,50.98379,60.82751
"austincary","US-SP1","EN",1000,"rising","exG_mean","2016-05-19","2016-06-08","2016-07-06","2016-05-18","2016-06-07","2016-07-05","2016-05-20","2016-06-10","2016-07-07",53.58417,55.36065,58.50754,52.4228,64.48678
"austincary","US-SP1","EN",1000,"rising","exG_mean","2017-05-02","2017-05-21","2017-06-14","2017-05-01","2017-05-20","2017-06-13","2017-05-04","2017-05-22","2017-06-15",52.35473,54.25929,57.66386,51.07408,64.22064
"austincary","US-SP1","EN",1000,"rising","exG_mean","2018-06-30","2018-07-13","2018-07-30","2018-06-29","2018-07-12","2018-07-29","2018-07-01","2018-07-14","2018-07-31",52.61496,53.87569,56.25947,51.74684,60.68065
"austincary","US-SP1","EN",1000,"falling","exG_90","2018-11-25","2018-11-18","2018-11-03","2018-11-26","2018-11-19","2018-11-04","2018-11-24","2018-11-17","2018-11-02",55.75726,57.36358,60.42068,54.64271,65.89125
